Team,Season_Wins,Season_Losses
Alabama-Birmingham,4,7
Charlotte,3,8
East Carolina,2,9
Florida Atlantic,4,7
Memphis,8,3
Navy,5,5
North Texas,4,7
Rice,5,6
South Florida,5,6
Southern Methodist,9,2
Temple,3,8
Texas-San Antonio,8,3
Tulane,10,1
Tulsa,3,8
Boston College,6,5
Clemson,7,4
Duke,6,5
Florida State,11,0
Georgia Tech,6,5
Louisville,10,1
Miami (FL),6,5
North Carolina,8,3
North Carolina State,8,3
Pittsburgh,3,8
Syracuse,5,6
Virginia,3,8
Virginia Tech,5,6
Wake Forest,4,7
Baylor,3,8
Brigham Young,5,6
Central Florida,5,6
Cincinnati,3,8
Houston,4,7
Iowa State,6,5
Kansas,7,4
Kansas State,8,3
Oklahoma,9,2
Oklahoma State,8,3
Texas,10,1
Texas Christian,5,6
Texas Tech,6,5
West Virginia,7,4
Illinois,5,6
Indiana,3,8
Iowa,9,2
Maryland,6,5
Michigan,11,0
Michigan State,4,7
Minnesota,5,6
Nebraska,5,6
Northwestern,6,5
Ohio State,11,0
Penn State,9,2
Purdue,3,8
Rutgers,6,5
Wisconsin,6,5
Florida International,4,7
Jacksonville State,8,3
Liberty,11,0
Louisiana Tech,3,9
Middle Tennessee State,4,7
New Mexico State,9,3
Sam Houston State,0,0
Texas-El Paso,3,8
Western Kentucky,6,5
Army,5,6
Connecticut,2,9
Massachusetts,3,8
Notre Dame,8,3
Akron,2,9
Ball State,4,7
Bowling Green State,0,0
Buffalo,3,8
Central Michigan,5,6
Eastern Michigan,5,6
Kent State,1,10
Miami (OH),9,2
Northern Illinois,5,6
Ohio,8,3
Toledo,10,1
Western Michigan,4,7
Air Force,8,3
Boise State,6,5
Colorado State,5,6
Fresno State,8,3
Hawaii,4,8
Nevada,2,9
Nevada-Las Vegas,9,2
New Mexico,4,7
San Diego State,3,8
San Jose State,6,5
Utah State,5,6
Wyoming,7,4
Arizona,8,3
Arizona State,3,8
California,5,6
Colorado,4,7
Oregon,10,1
Oregon State,8,3
Southern California,7,5
Stanford,3,8
UCLA,7,4
Utah,7,4
Washington,11,0
Washington State,5,6
Alabama,10,1
Arkansas,4,7
Auburn,6,5
Florida,5,6
Georgia,11,0
Kentucky,6,5
Louisiana State,8,3
Mississippi,9,2
Mississippi State,5,6
Missouri,9,2
South Carolina,5,6
Tennessee,7,4
Texas A&M,7,4
Vanderbilt,2,9
Appalachian State,7,4
Arkansas State,6,5
Coastal Carolina,7,4
Georgia Southern,6,5
Georgia State,6,5
James Madison,10,1
Louisiana,5,6
Louisiana-Monroe,2,9
Marshall,5,6
Old Dominion,5,6
South Alabama,6,5
Southern Mississippi,3,8
Texas State,6,5
Troy,9,2
