,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Ohio State,Big Ten,76.3,0.0,0.0
1,Clemson,ACC,72.15,0.0,0.0
2,Louisiana State,SEC,71.6,0.0,0.0
3,Oklahoma,SEC,61.550000000000004,0.0,0.0
4,Oregon,Big Ten,45.300000000000004,0.0,0.0
5,Memphis,AAC,38.15,6.550000000000001,17.169999999999998
6,Notre Dame,Ind,36.9,0.0,0.0
7,Georgia,SEC,32.1,0.0,0.0
8,Utah,Big 12,26.150000000000002,0.1,0.38
9,Penn State,Big Ten,26.1,0.0,0.0
10,Iowa,Big Ten,25.45,0.0,0.0
11,Alabama,SEC,25.45,0.0,0.0
12,Wisconsin,Big Ten,25.1,0.0,0.0
13,Auburn,SEC,24.95,0.0,0.0
14,Baylor,Big 12,24.05,0.1,0.42
15,Florida,SEC,23.549999999999997,0.0,0.0
16,Michigan,Big Ten,22.650000000000002,0.0,0.0
17,Boise State,MWC,22.0,4.5,20.45
18,Navy,AAC,19.75,3.25,16.46
19,Southern California,Big Ten,19.25,0.0,0.0
20,Kansas State,Big 12,17.65,0.0,0.0
21,Oklahoma State,Big 12,17.5,0.1,0.5700000000000001
22,Virginia,ACC,17.4,0.0,0.0
23,Air Force,MWC,15.35,4.15,27.04
24,Washington,Big Ten,14.899999999999999,0.0,0.0
25,Minnesota,Big Ten,14.45,0.0,0.0
26,Virginia Tech,ACC,13.950000000000001,0.0,0.0
27,Southern Methodist,ACC,13.600000000000001,0.05,0.37
28,Cincinnati,Big 12,13.600000000000001,0.05,0.37
29,Indiana,Big Ten,13.100000000000001,0.0,0.0
30,Arizona State,Big 12,12.7,0.0,0.0
31,Iowa State,Big 12,12.4,0.05,0.4
32,California,ACC,10.9,0.0,0.0
33,Tennessee,SEC,10.75,0.0,0.0
34,Texas A&M,SEC,10.2,0.0,0.0
35,Central Florida,Big 12,9.55,0.0,0.0
36,Kentucky,SEC,9.15,0.0,0.0
37,Boston College,ACC,9.1,0.05,0.5499999999999999
38,West Virginia,Big 12,8.649999999999999,0.05,0.58
39,Texas,SEC,8.4,0.0,0.0
40,Brigham Young,Big 12,8.4,0.1,1.1900000000000002
41,Oregon State,Pac-12,8.05,2.0,24.84
42,Pittsburgh,ACC,7.249999999999999,0.05,0.69
43,UCLA,Big Ten,7.049999999999999,0.0,0.0
44,Wake Forest,ACC,7.000000000000001,0.05,0.7100000000000001
45,Colorado,Big 12,6.9,0.0,0.0
46,Washington State,Pac-12,6.800000000000001,1.6500000000000001,24.26
47,San Diego State,MWC,6.800000000000001,3.0,44.12
48,Louisville,ACC,6.5,0.0,0.0
49,Miami (FL),ACC,6.3,0.0,0.0
50,Marshall,Sun Belt,6.3,5.75,91.27
51,Florida State,ACC,6.1,0.0,0.0
52,Hawaii,MWC,5.65,1.6500000000000001,29.2
53,Florida Atlantic,AAC,5.65,2.0,35.4
54,Texas Christian,Big 12,5.5,0.1,1.82
55,Syracuse,ACC,5.4,0.0,0.0
56,Temple,AAC,5.35,1.6500000000000001,30.84
57,North Carolina,ACC,4.8500000000000005,0.05,1.03
58,Nebraska,Big Ten,4.7,0.0,0.0
59,Miami (OH),MAC,4.65,3.6999999999999997,79.57
60,Illinois,Big Ten,4.55,0.0,0.0
61,Michigan State,Big Ten,4.5,0.0,0.0
62,Utah State,MWC,4.35,2.25,51.72
63,Mississippi State,SEC,4.35,0.0,0.0
64,Wyoming,MWC,4.05,2.1999999999999997,54.32
65,Appalachian State,Sun Belt,4.05,3.6999999999999997,91.36
66,Purdue,Big Ten,3.8,0.0,0.0
67,Duke,ACC,3.4000000000000004,0.0,0.0
68,Western Michigan,MAC,3.25,3.15,96.92
69,Missouri,SEC,3.15,0.0,0.0
70,Houston,Big 12,2.9000000000000004,0.0,0.0
71,Georgia Tech,ACC,2.85,0.0,0.0
72,Buffalo,MAC,2.85,2.1999999999999997,77.19
73,Nevada,MWC,2.75,1.55,56.36
74,Texas Tech,Big 12,2.65,0.1,3.7699999999999996
75,Central Michigan,MAC,2.6,2.25,86.53999999999999
76,Kent State,MAC,2.45,2.1,85.71
77,Northwestern,Big Ten,2.35,0.0,0.0
78,Tulane,AAC,2.25,0.75,33.33
79,South Carolina,SEC,2.1999999999999997,0.0,0.0
80,Stanford,ACC,2.1999999999999997,0.0,0.0
81,Ohio,MAC,2.15,1.6,74.42
82,Nevada-Las Vegas,MWC,2.15,1.4000000000000001,65.12
83,Western Kentucky,CUSA,2.0500000000000003,1.7999999999999998,87.8
84,Tulsa,AAC,2.0500000000000003,0.65,31.71
85,Alabama-Birmingham,AAC,1.9,0.95,50.0
86,Kansas,Big 12,1.8499999999999999,0.05,2.7
87,Louisiana Tech,CUSA,1.7500000000000002,1.7000000000000002,97.14
88,Arizona,Big 12,1.6500000000000001,0.0,0.0
89,Vanderbilt,SEC,1.55,0.0,0.0
90,Mississippi,SEC,1.55,0.0,0.0
91,San Jose State,MWC,1.4500000000000002,0.65,44.83
92,North Carolina State,ACC,1.35,0.0,0.0
93,Colorado State,MWC,1.35,0.6,44.440000000000005
94,Southern Mississippi,Sun Belt,1.3,1.3,100.0
95,Eastern Michigan,MAC,1.3,0.8999999999999999,69.23
96,Rice,AAC,1.25,0.8,64.0
97,Northern Illinois,MAC,1.0,0.8,80.0
98,Toledo,MAC,0.8999999999999999,0.8999999999999999,100.0
99,Ball State,MAC,0.8500000000000001,0.5499999999999999,64.71000000000001
100,Florida International,CUSA,0.8,0.8,100.0
101,Arkansas State,Sun Belt,0.75,0.7000000000000001,93.33
102,South Florida,AAC,0.75,0.44999999999999996,60.0
103,Troy,Sun Belt,0.6,0.5499999999999999,91.67
104,North Texas,AAC,0.4,0.25,62.5
105,Fresno State,MWC,0.4,0.2,50.0
106,Louisiana-Monroe,Sun Belt,0.4,0.4,100.0
107,Maryland,Big Ten,0.35000000000000003,0.0,0.0
108,Rutgers,Big Ten,0.3,0.0,0.0
109,Arkansas,SEC,0.3,0.0,0.0
110,Middle Tennessee State,CUSA,0.3,0.3,100.0
111,Army,Ind,0.25,0.0,0.0
112,New Mexico,MWC,0.2,0.1,50.0
113,East Carolina,AAC,0.2,0.15,75.0
114,Texas-El Paso,CUSA,0.1,0.1,100.0
