,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Alabama,SEC,79.3,0.0,0.0
1,Georgia,SEC,76.8,0.0,0.0
2,Washington,Big Ten,73.7,0.0,0.0
3,Michigan,Big Ten,52.8,0.0,0.0
4,Iowa,Big Ten,46.65,0.0,0.0
5,Ohio State,Big Ten,46.05,0.0,0.0
6,Troy,Sun Belt,41.85,41.8,99.881
7,Memphis,AAC,40.25,40.25,100.0
8,Toledo,MAC,39.65,39.65,100.0
9,Oregon,Big Ten,35.45,0.0,0.0
10,Liberty,CUSA,33.85,33.85,100.0
11,Louisiana State,SEC,32.85,0.0,0.0
12,Sam Houston State,CUSA,31.1,31.1,100.0
13,North Carolina State,ACC,29.25,0.0,0.0
14,Florida State,ACC,27.5,0.0,0.0
15,Texas,SEC,23.95,0.0,0.0
16,Ohio,MAC,23.6,23.6,100.0
17,James Madison,Sun Belt,22.8,22.75,99.781
18,Nevada-Las Vegas,MWC,22.8,22.8,100.0
19,San Jose State,MWC,22.55,22.55,100.0
20,Penn State,Big Ten,20.1,0.0,0.0
21,Navy,AAC,19.8,19.8,100.0
22,New Mexico State,CUSA,19.05,19.05,100.0
23,Oklahoma,SEC,17.3,0.0,0.0
24,Arizona,Big 12,17.2,0.0,0.0
25,Notre Dame,Ind,15.6,0.0,0.0
26,Louisville,ACC,15.35,0.0,0.0
27,Eastern Michigan,MAC,14.95,14.95,100.0
28,Iowa State,Big 12,12.25,0.0,0.0
29,Missouri,SEC,12.15,0.0,0.0
30,Wyoming,MWC,11.35,11.35,100.0
31,Clemson,ACC,11.2,0.0,0.0
32,Alabama-Birmingham,AAC,10.9,10.9,100.0
33,Old Dominion,Sun Belt,10.8,9.55,88.426
34,Mississippi,SEC,10.75,0.0,0.0
35,Utah State,MWC,10.65,10.65,100.0
36,Colorado State,MWC,10.35,10.35,100.0
37,San Diego State,MWC,10.25,10.25,100.0
38,Jacksonville State,CUSA,9.9,9.9,100.0
39,Oklahoma State,Big 12,9.4,0.0,0.0
40,Miami (OH),MAC,8.2,8.2,100.0
41,Texas-San Antonio,AAC,7.9,7.9,100.0
42,Tulane,AAC,7.35,7.35,100.0
43,Oregon State,Pac-12,6.75,0.0,0.0
44,Northern Illinois,MAC,6.2,6.2,100.0
45,Rice,AAC,5.65,5.65,100.0
46,East Carolina,AAC,5.1,5.1,100.0
47,Northwestern,Big Ten,4.6,0.0,0.0
48,Utah,Big 12,4.4,0.0,0.0
49,Hawaii,MWC,4.15,4.15,100.0
50,Texas State,Sun Belt,4.15,4.15,100.0
51,Appalachian State,Sun Belt,4.1,4.1,100.0
52,Buffalo,MAC,4.0,4.0,100.0
53,Coastal Carolina,Sun Belt,3.95,3.95,100.0
54,New Mexico,MWC,3.2,3.2,100.0
55,Purdue,Big Ten,2.8,0.0,0.0
56,Kansas State,Big 12,2.75,0.0,0.0
57,Middle Tennessee State,CUSA,2.6,2.6,100.0
58,Arkansas State,Sun Belt,2.55,2.55,100.0
59,Air Force,MWC,2.5,2.5,100.0
60,South Alabama,Sun Belt,2.25,2.25,100.0
61,Tennessee,SEC,2.15,0.0,0.0
62,Kentucky,SEC,1.9,0.0,0.0
63,Maryland,Big Ten,1.45,0.0,0.0
64,Texas A&M,SEC,1.45,0.0,0.0
65,West Virginia,Big 12,1.4,0.0,0.0
66,Louisiana,Sun Belt,1.35,1.35,100.0
67,Texas-El Paso,CUSA,1.35,1.3,96.296
68,Georgia State,Sun Belt,1.3,1.3,100.0
69,Boise State,MWC,1.3,1.3,100.0
70,Western Kentucky,CUSA,1.3,1.3,100.0
71,Illinois,Big Ten,1.3,0.0,0.0
72,Florida Atlantic,AAC,1.25,1.25,100.0
73,Georgia Tech,ACC,1.2,0.0,0.0
74,Central Michigan,MAC,1.15,1.15,100.0
75,South Carolina,SEC,1.05,0.0,0.0
76,Michigan State,Big Ten,1.05,0.0,0.0
77,Texas Tech,Big 12,1.0,0.0,0.0
78,Ball State,MAC,0.8,0.8,100.0
79,Western Michigan,MAC,0.75,0.75,100.0
80,Tulsa,AAC,0.7,0.7,100.0
81,Florida,SEC,0.7,0.0,0.0
82,Marshall,Sun Belt,0.65,0.65,100.0
83,Florida International,CUSA,0.65,0.65,100.0
84,Fresno State,MWC,0.6,0.6,100.0
85,Miami (FL),ACC,0.55,0.0,0.0
86,Southern Methodist,ACC,0.5,0.0,0.0
87,California,ACC,0.5,0.0,0.0
88,Wisconsin,Big Ten,0.4,0.0,0.0
89,North Texas,AAC,0.25,0.25,100.0
90,Central Florida,Big 12,0.25,0.0,0.0
91,Auburn,SEC,0.25,0.0,0.0
92,Kansas,Big 12,0.25,0.0,0.0
93,Kent State,MAC,0.2,0.2,100.0
94,Charlotte,AAC,0.2,0.2,100.0
95,Bowling Green State,MAC,0.2,0.2,100.0
96,Arkansas,SEC,0.2,0.0,0.0
97,Southern California,Big Ten,0.15,0.0,0.0
98,Nevada,MWC,0.15,0.15,100.0
99,Texas Christian,Big 12,0.15,0.0,0.0
100,Temple,AAC,0.15,0.15,100.0
101,North Carolina,ACC,0.1,0.0,0.0
102,Arizona State,Big 12,0.1,0.0,0.0
103,Stanford,ACC,0.1,0.0,0.0
104,South Florida,AAC,0.1,0.1,100.0
105,Houston,Big 12,0.05,0.0,0.0
106,Indiana,Big Ten,0.05,0.0,0.0
107,Virginia,ACC,0.05,0.0,0.0
108,Virginia Tech,ACC,0.05,0.0,0.0
109,UCLA,Big Ten,0.05,0.0,0.0
