,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Georgia,SEC,71.6,0.0,0.0
1,Washington,Pac-12,68.92,0.0,0.0
2,Texas,Big 12,60.71,0.0,0.0
3,Michigan,Big Ten,50.44,0.0,0.0
4,Ohio State,Big Ten,46.86,0.0,0.0
5,Florida State,ACC,33.31,0.0,0.0
6,Oregon,Pac-12,27.47,0.0,0.0
7,Alabama,SEC,25.22,0.0,0.0
8,Kansas State,Big 12,3.53,0.0,0.0
9,Missouri,SEC,3.26,0.0,0.0
10,Arizona,Pac-12,3.26,0.0,0.0
11,Iowa,Big Ten,2.42,0.0,0.0
12,Louisville,ACC,1.74,0.0,0.0
13,Louisiana State,SEC,0.67,0.0,0.0
14,Oregon State,Pac-12,0.35,0.0,0.0
15,North Carolina State,ACC,0.14,0.0,0.0
16,Mississippi,SEC,0.09,0.0,0.0
17,Texas Tech,Big 12,0.01,0.0,0.0
