,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Georgia,SEC,89.34,0.0,0.0
1,Ohio State,Big Ten,79.15,0.0,0.0
2,Michigan,Big Ten,77.57,0.0,0.0
3,Washington,Big Ten,68.71,0.0,0.0
4,Alabama,SEC,67.38,0.0,0.0
5,Florida State,ACC,63.89,0.07,0.11
6,Oregon,Big Ten,50.6,0.0,0.0
7,Texas,SEC,47.93,0.0,0.0
8,Arizona,Big 12,37.0,1.2,3.243
9,Missouri,SEC,35.92,0.0,0.0
10,James Madison,Sun Belt,33.8,5.71,16.893
11,Iowa,Big Ten,33.63,0.0,0.0
12,Louisville,ACC,30.88,0.02,0.065
13,Tulane,AAC,28.08,12.27,43.697
14,Penn State,Big Ten,25.09,0.0,0.0
15,Oklahoma,SEC,24.9,0.0,0.0
16,Troy,Sun Belt,22.26,4.5,20.216
17,North Carolina State,ACC,21.67,0.06,0.277
18,Oregon State,Pac-12,20.81,2.58,12.398
19,Mississippi,SEC,18.87,0.0,0.0
20,Kansas State,Big 12,17.41,0.59,3.389
21,Louisiana State,SEC,17.25,0.0,0.0
22,Clemson,ACC,14.32,0.05,0.349
23,Toledo,MAC,13.75,9.82,71.418
24,Notre Dame,Ind,12.95,0.0,0.0
25,North Carolina,ACC,12.93,0.01,0.077
26,Coastal Carolina,Sun Belt,12.38,3.68,29.725
27,Kansas,Big 12,12.36,0.54,4.369
28,Iowa State,Big 12,11.25,0.42,3.733
29,Liberty,CUSA,10.59,9.41,88.857
30,Texas Tech,Big 12,9.71,0.57,5.87
31,Memphis,AAC,9.7,5.06,52.165
32,Texas-San Antonio,AAC,9.18,5.56,60.566
33,Oklahoma State,Big 12,8.99,0.36,4.004
34,Virginia Tech,ACC,8.97,0.03,0.334
35,Utah,Big 12,8.76,0.34,3.881
36,Tennessee,SEC,7.99,0.0,0.0
37,Northwestern,Big Ten,7.93,0.0,0.0
38,Texas A&M,SEC,7.16,0.0,0.0
39,Illinois,Big Ten,7.07,0.0,0.0
40,Auburn,SEC,6.97,0.0,0.0
41,Southern California,Big Ten,6.46,0.0,0.0
42,Miami (OH),MAC,5.54,4.7,84.838
43,San Jose State,MWC,5.21,2.81,53.935
44,Southern Methodist,ACC,5.1,0.02,0.392
45,Central Florida,Big 12,4.89,0.36,7.362
46,West Virginia,Big 12,4.84,0.26,5.372
47,Fresno State,MWC,4.66,3.58,76.824
48,Nevada-Las Vegas,MWC,4.2,3.36,80.0
49,Miami (FL),ACC,3.17,0.01,0.315
50,Duke,ACC,2.91,0.03,1.031
51,Maryland,Big Ten,2.8,0.0,0.0
52,UCLA,Big Ten,2.72,0.0,0.0
53,Kentucky,SEC,2.47,0.0,0.0
54,Rutgers,Big Ten,2.31,0.0,0.0
55,Appalachian State,Sun Belt,2.29,1.12,48.908
56,Arizona State,Big 12,2.09,0.19,9.091
57,Texas Christian,Big 12,1.89,0.11,5.82
58,New Mexico State,CUSA,1.79,1.62,90.503
59,Boise State,MWC,1.76,1.32,75.0
60,Syracuse,ACC,1.71,0.0,0.0
61,Texas State,Sun Belt,1.62,0.9,55.556
62,South Carolina,SEC,1.58,0.0,0.0
63,Purdue,Big Ten,1.5,0.0,0.0
64,Georgia Tech,ACC,1.47,0.03,2.041
65,Nebraska,Big Ten,1.29,0.0,0.0
66,Boston College,ACC,1.26,0.01,0.794
67,Houston,Big 12,1.24,0.09,7.258
68,Wisconsin,Big Ten,1.1,0.0,0.0
69,Florida,SEC,1.03,0.0,0.0
70,Colorado,Big 12,1.01,0.07,6.931
71,Cincinnati,Big 12,0.91,0.07,7.692
72,Brigham Young,Big 12,0.82,0.04,4.878
73,Michigan State,Big Ten,0.73,0.0,0.0
74,South Alabama,Sun Belt,0.66,0.37,56.061
75,Jacksonville State,CUSA,0.61,0.52,85.246
76,Wake Forest,ACC,0.56,0.02,3.571
77,Stanford,ACC,0.55,0.0,0.0
78,Wyoming,MWC,0.5,0.35,70.0
79,Old Dominion,Sun Belt,0.49,0.24,48.98
80,Ohio,MAC,0.47,0.45,95.745
81,Arkansas,SEC,0.45,0.0,0.0
82,Western Michigan,MAC,0.44,0.4,90.909
83,Air Force,MWC,0.44,0.41,93.182
84,Georgia Southern,Sun Belt,0.43,0.29,67.442
85,California,ACC,0.42,0.01,2.381
86,Minnesota,Big Ten,0.42,0.0,0.0
87,Utah State,MWC,0.39,0.33,84.615
88,Marshall,Sun Belt,0.38,0.18,47.368
89,Baylor,Big 12,0.38,0.05,13.158
90,Colorado State,MWC,0.37,0.36,97.297
91,Arkansas State,Sun Belt,0.3,0.22,73.333
92,South Florida,AAC,0.27,0.25,92.593
93,Georgia State,Sun Belt,0.27,0.14,51.852
94,Indiana,Big Ten,0.2,0.0,0.0
95,Hawaii,MWC,0.2,0.17,85.0
96,Virginia,ACC,0.17,0.0,0.0
97,Louisiana,Sun Belt,0.14,0.1,71.429
98,Southern Mississippi,Sun Belt,0.14,0.12,85.714
99,Central Michigan,MAC,0.12,0.12,100.0
100,Mississippi State,SEC,0.11,0.0,0.0
101,Rice,AAC,0.1,0.09,90.0
102,East Carolina,AAC,0.09,0.07,77.778
103,North Texas,AAC,0.08,0.06,75.0
104,Western Kentucky,CUSA,0.07,0.07,100.0
105,Vanderbilt,SEC,0.05,0.0,0.0
106,Navy,AAC,0.05,0.05,100.0
107,Pittsburgh,ACC,0.04,0.0,0.0
108,Bowling Green State,MAC,0.03,0.03,100.0
109,Buffalo,MAC,0.02,0.02,100.0
110,New Mexico,MWC,0.02,0.01,50.0
111,Washington State,Pac-12,0.02,0.0,0.0
112,Army,Ind,0.01,0.0,0.0
113,Northern Illinois,MAC,0.01,0.01,100.0
114,Charlotte,AAC,0.01,0.01,100.0
115,Texas-El Paso,CUSA,0.01,0.01,100.0
116,San Diego State,MWC,0.01,0.01,100.0
117,Ball State,MAC,0.01,0.01,100.0
118,Temple,AAC,0.01,0.0,0.0
119,Eastern Michigan,MAC,0.01,0.01,100.0
