,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Georgia,SEC,82.06,0.0,0.0
1,Michigan,Big Ten,56.86,0.0,0.0
2,Alabama,SEC,48.42,0.0,0.0
3,Washington,Big Ten,44.92,0.0,0.0
4,Texas Christian,Big 12,44.28,0.12,0.271
5,Penn State,Big Ten,35.34,0.0,0.0
6,Ohio State,Big Ten,29.75,0.0,0.0
7,Tennessee,SEC,29.1,0.0,0.0
8,Notre Dame,Ind,27.86,0.0,0.0
9,Tulane,AAC,27.77,3.78,13.612
10,Kansas State,Big 12,26.13,0.1,0.383
11,Florida State,ACC,23.88,0.18,0.754
12,Troy,Sun Belt,23.16,3.07,13.256
13,Oregon,Big Ten,21.78,0.0,0.0
14,Iowa,Big Ten,21.64,0.0,0.0
15,Oregon State,Pac-12,21.63,2.24,10.356
16,Mississippi State,SEC,20.86,0.0,0.0
17,Louisiana State,SEC,20.13,0.0,0.0
18,Pittsburgh,ACC,18.84,0.05,0.265
19,Texas Tech,Big 12,18.57,0.12,0.646
20,Texas,SEC,18.54,0.0,0.0
21,Utah,Big 12,17.97,0.04,0.223
22,Louisville,ACC,17.4,0.13,0.747
23,Southern California,Big Ten,16.98,0.0,0.0
24,Minnesota,Big Ten,16.56,0.0,0.0
25,Clemson,ACC,15.63,0.09,0.576
26,Duke,ACC,14.02,0.05,0.357
27,Arkansas,SEC,13.79,0.0,0.0
28,Fresno State,MWC,13.38,4.21,31.465
29,South Carolina,SEC,13.23,0.0,0.0
30,UCLA,Big Ten,12.63,0.0,0.0
31,Wisconsin,Big Ten,12.33,0.0,0.0
32,Maryland,Big Ten,11.99,0.0,0.0
33,Wake Forest,ACC,11.98,0.11,0.918
34,Brigham Young,Big 12,10.94,0.09,0.823
35,Cincinnati,Big 12,10.6,0.05,0.472
36,Oklahoma,SEC,10.54,0.0,0.0
37,Air Force,MWC,10.26,4.18,40.741
38,Illinois,Big Ten,9.76,0.0,0.0
39,North Carolina State,ACC,9.7,0.05,0.515
40,Jacksonville State,CUSA,9.11,3.73,40.944
41,Purdue,Big Ten,9.09,0.0,0.0
42,Houston,Big 12,8.5,0.05,0.588
43,Nebraska,Big Ten,7.77,0.0,0.0
44,Texas-San Antonio,AAC,7.66,1.33,17.363
45,Washington State,Pac-12,7.48,1.24,16.578
46,West Virginia,Big 12,7.43,0.03,0.404
47,Missouri,SEC,7.14,0.0,0.0
48,Syracuse,ACC,7.04,0.14,1.989
49,Kentucky,SEC,7.02,0.0,0.0
50,Vanderbilt,SEC,6.93,0.0,0.0
51,Marshall,Sun Belt,6.89,1.59,23.077
52,Texas A&M,SEC,6.88,0.0,0.0
53,North Carolina,ACC,6.8,0.09,1.324
54,Auburn,SEC,6.55,0.0,0.0
55,Central Florida,Big 12,6.48,0.01,0.154
56,Miami (FL),ACC,6.43,0.07,1.089
57,Arizona,Big 12,6.27,0.01,0.159
58,Baylor,Big 12,6.25,0.03,0.48
59,James Madison,Sun Belt,6.04,1.82,30.132
60,Kansas,Big 12,5.99,0.04,0.668
61,Michigan State,Big Ten,5.69,0.0,0.0
62,Oklahoma State,Big 12,5.46,0.04,0.733
63,Iowa State,Big 12,5.16,0.01,0.194
64,Florida,SEC,4.95,0.0,0.0
65,Georgia Tech,ACC,4.81,0.09,1.871
66,East Carolina,AAC,4.72,1.15,24.364
67,Boise State,MWC,4.33,1.46,33.718
68,Boston College,ACC,4.23,0.05,1.182
69,Southern Methodist,ACC,4.21,0.06,1.425
