,Team,Conference,% Time in Playoffs,% Make Playoffs Due to AQ,% of Appearances Due to AQ
0,Ohio State,Big Ten,90.0,0.0,0.0
1,Clemson,ACC,76.0,0.0,0.0
2,Louisiana State,SEC,66.0,0.0,0.0
3,Oregon,Big Ten,50.0,0.0,0.0
4,Oklahoma,SEC,50.0,0.0,0.0
5,Georgia,SEC,46.0,0.0,0.0
6,Wisconsin,Big Ten,44.0,0.0,0.0
7,Utah,Big 12,38.0,0.0,0.0
8,Memphis,AAC,34.0,0.0,0.0
9,Notre Dame,Ind,32.0,0.0,0.0
10,Southern California,Big Ten,30.0,0.0,0.0
11,Auburn,SEC,30.0,0.0,0.0
12,Alabama,SEC,26.0,0.0,0.0
13,Florida,SEC,26.0,0.0,0.0
14,Cincinnati,Big 12,24.0,0.0,0.0
15,Penn State,Big Ten,24.0,0.0,0.0
16,Baylor,Big 12,22.0,0.0,0.0
17,Washington,Big Ten,22.0,0.0,0.0
18,Navy,AAC,22.0,0.0,0.0
19,Virginia,ACC,20.0,0.0,0.0
20,Michigan,Big Ten,20.0,0.0,0.0
21,Oklahoma State,Big 12,20.0,0.0,0.0
22,Arizona State,Big 12,18.0,0.0,0.0
23,Kentucky,SEC,18.0,0.0,0.0
24,Iowa,Big Ten,18.0,0.0,0.0
25,Southern Methodist,ACC,18.0,0.0,0.0
26,Air Force,MWC,16.0,0.0,0.0
27,West Virginia,Big 12,14.0,0.0,0.0
28,Virginia Tech,ACC,14.0,0.0,0.0
29,Boise State,MWC,14.0,0.0,0.0
30,California,ACC,12.0,0.0,0.0
31,Tennessee,SEC,12.0,0.0,0.0
32,Iowa State,Big 12,12.0,0.0,0.0
33,Kansas State,Big 12,10.0,0.0,0.0
34,San Diego State,MWC,10.0,0.0,0.0
35,Texas,SEC,10.0,0.0,0.0
36,Florida State,ACC,10.0,0.0,0.0
37,Brigham Young,Big 12,10.0,0.0,0.0
38,Central Florida,Big 12,10.0,0.0,0.0
39,Boston College,ACC,10.0,0.0,0.0
40,Indiana,Big Ten,10.0,0.0,0.0
41,Syracuse,ACC,8.0,0.0,0.0
42,UCLA,Big Ten,6.0,0.0,0.0
43,Nevada,MWC,6.0,0.0,0.0
44,Temple,AAC,6.0,0.0,0.0
45,Wake Forest,ACC,6.0,0.0,0.0
46,Texas A&M,SEC,6.0,0.0,0.0
47,Purdue,Big Ten,6.0,0.0,0.0
48,Nebraska,Big Ten,6.0,0.0,0.0
49,Texas Tech,Big 12,6.0,0.0,0.0
50,Louisville,ACC,6.0,0.0,0.0
51,Florida Atlantic,AAC,6.0,0.0,0.0
52,Northwestern,Big Ten,4.0,0.0,0.0
53,Illinois,Big Ten,4.0,0.0,0.0
54,Texas Christian,Big 12,4.0,0.0,0.0
55,Duke,ACC,4.0,0.0,0.0
56,Missouri,SEC,4.0,0.0,0.0
57,Miami (FL),ACC,4.0,0.0,0.0
58,Colorado,Big 12,4.0,0.0,0.0
59,North Carolina,ACC,4.0,0.0,0.0
60,Oregon State,Pac-12,4.0,0.0,0.0
61,Pittsburgh,ACC,4.0,0.0,0.0
62,Mississippi,SEC,4.0,0.0,0.0
63,Utah State,MWC,2.0,0.0,0.0
64,Kansas,Big 12,2.0,0.0,0.0
65,Colorado State,MWC,2.0,0.0,0.0
66,South Carolina,SEC,2.0,0.0,0.0
67,Mississippi State,SEC,2.0,0.0,0.0
68,Central Michigan,MAC,2.0,0.0,0.0
69,Minnesota,Big Ten,2.0,0.0,0.0
70,Miami (OH),MAC,2.0,0.0,0.0
71,Alabama-Birmingham,AAC,2.0,0.0,0.0
72,Michigan State,Big Ten,2.0,0.0,0.0
73,Tulsa,AAC,2.0,0.0,0.0
74,Buffalo,MAC,2.0,0.0,0.0
75,Stanford,ACC,2.0,0.0,0.0
76,Washington State,Pac-12,2.0,0.0,0.0
77,Vanderbilt,SEC,2.0,0.0,0.0
